title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),bclo(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)


UNIC06C,0,123000000,0,0,L,25000,1,0,0,1,0,0,0,1,1
AWOS 06C,0,128275000,0,0,L,12500,1,0,0,1,0,0,0,1,0
AWISKDPA,0,132075000,0,0,L,25000,0,0,0,1,0,0,0,1,1
KDPATWR1,0,120900000,0,0,L,25000,1,0,0,1,0,0,0,1,0
UNICKDPA,0,122950000,0,0,M,25000,1,0,0,1,0,0,0,1,1
CHIAPR,0,133500000,0,0,L,25000,1,0,0,1,0,0,0,1,1










K9IIK 2m,144830000,145230000,23,23,H,25000,1,0,0,1,0,0,0,0,0
K9XD 70,449875000,444875000,11480,11480,M,25000,0,0,0,1,0,0,0,0,0
N Shore,153345000,147345000,10720,0,L,12500,0,0,0,1,0,0,0,0,0
W9AUX 2m,146065000,146655000,10720,10720,M,25000,1,0,0,1,0,0,0,0,0
W9DUP 2m,144830000,145430000,10720,10720,H,25000,0,0,0,1,0,0,0,0,0






