title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)
,147015000,147615000,15140,0,H,25000,1,0,0,1,0,0,0,0
,444950000,449950000,10720,0,H,25000,1,0,0,1,0,0,0,0
,145370000,144770000,15140,0,H,25000,1,0,1,1,0,0,0,0
,147090000,147690000,0,0,H,25000,1,0,0,1,0,0,0,0
,444300000,449300000,13180,0,H,25000,1,0,0,1,0,0,0,0
,444350000,449350000,11090,0,H,25000,1,0,0,1,0,0,0,0
,146730000,146130000,15140,0,H,25000,1,0,0,1,0,0,0,0
,146700000,146100000,10720,0,H,25000,1,0,0,1,0,0,0,0
,444775000,449775000,15140,0,H,25000,1,0,0,1,0,0,0,0
,145310000,144710000,0,0,H,25000,1,0,0,1,0,0,0,0
,145170000,144570000,15140,0,H,25000,1,0,0,1,0,0,0,0
,443750000,448750000,15140,0,H,25000,1,0,0,1,0,0,0,0
,443500000,448500000,15140,0,H,25000,1,0,0,1,0,0,0,0
,443250000,448250000,13180,0,H,25000,1,0,0,1,0,0,0,0
,443775000,448775000,11090,0,H,25000,1,0,0,1,0,0,0,0
,443175000,448175000,15140,0,H,25000,1,0,0,1,0,0,0,0
,443450000,448450000,0,0,H,25000,1,0,0,1,0,0,0,0
,146820000,146220000,15140,0,H,25000,1,0,0,1,0,0,0,0
,443050000,448050000,,0,H,25000,1,0,0,1,0,0,0,0
,146970000,146370000,15140,0,H,25000,1,0,0,1,0,0,0,0
,147270000,147870000,0,0,H,25000,1,0,0,1,0,0,0,0
,444125000,449125000,12300,0,H,25000,1,0,0,1,0,0,0,0
,442975000,447975000,15140,0,H,25000,1,0,0,1,0,0,0,0
,443650000,448650000,0,0,H,25000,1,0,0,1,0,0,0,0
,444275000,449275000,15140,0,H,25000,1,0,0,1,0,0,0,0
,442325000,447325000,0,0,H,25000,1,0,0,1,0,0,0,0
,145430000,144830000,0,0,H,25000,1,0,0,1,0,0,0,0
,444850000,449850000,15140,0,H,25000,1,0,0,1,0,0,0,0
,442100000,447100000,16790,0,H,25000,1,0,0,1,0,0,0,0
,146940000,146340000,8850,0,H,25000,1,0,0,1,0,0,0,0
